company,average_rank,median_rank,best_rank,worst_rank,top_3_frequency,average_score
Roblox,1.0637,1.0,1.0,3.0,1.0,9.668945536125245
Duolingo,2.5497,2.0,1.0,7.0,0.8478,8.99869835525098
Match Group,2.9827,3.0,2.0,6.0,0.7833,8.831839152109206
Bumble,5.0704,5.0,3.0,10.0,0.0036,8.499558801193434
Peloton,6.0433,6.0,2.0,13.0,0.1776,8.3336567190253
Electronic Arts,7.0368,7.0,4.0,10.0,0.0,8.165141489890718
Spotify,7.1868,7.0,3.0,13.0,0.0397,8.164461403135938
Airbnb,7.7026,8.0,2.0,16.0,0.1192,7.998507970556025
Netlix,7.8904,8.0,3.0,16.0,0.0205,7.994721876277265
HelloFresh,9.6302,10.0,3.0,14.0,0.0003,7.668956427941147
Intuit,10.9819,11.0,1.0,16.0,0.006,7.324131205975116
Coursera,11.9788,12.0,8.0,16.0,0.0,7.1667959265666
Booking Holdings,12.5827,13.0,1.0,16.0,0.002,6.993971620846321
Planet Fitness,14.0352,14.0,9.0,16.0,0.0,6.6666679521382015
SoFi,14.2546,14.0,10.0,16.0,0.0,6.662033170041507
Sweetgreen,15.0102,15.0,11.0,16.0,0.0,6.498054290616632
