company,ticker,market_cap_bil,revenue_growth_pct,gross_margin_pct,operating_margin_pct
Peloton,PTON,2.35114624,1.0999999999999999,51.959,9.51
Planet Fitness,PLNT,4.05634816,19.7,58.792995999999995,32.513002
Duolingo,DUOL,5.928973824,26.5,72.665,15.369000999999999
Coursera,COUR,1.520564224,9.1,54.800000000000004,-12.928
Roblox,RBLX,33.84431616,39.300000000000004,24.099999999999998,-16.436
Electronic Arts,EA,50.895028224,11.899999999999999,78.967005,24.009000999999998
Intuit,INTU,70.509625344,10.4,80.793,46.974
SoFi,SOFI,21.934876672,42.5,83.507,18.282999999999998
Airbnb,ABNB,82.609946624,17.9,82.913,3.211
Booking Holdings,BKNG,130.001362944,16.2,86.98700000000001,25.035998
Netlix,NFLX,306.883002368,16.2,49.029,32.303002
Spotify,SPOT,94.449516544,8.200000000000001,32.318002,15.773000000000001
HelloFresh,HFG.DE,0.564051072,-13.200000000000001,61.092997000000004,-3.5340000000000003
Sweetgreen,SG,0.98864608,-2.9000000000000004,14.354,-20.311001
Match Group,MTCH,8.220313088,3.9,73.877996,27.365000000000002
Bumble,BMBL,0.423186112,-14.099999999999998,71.884,31.480000000000004
